,Time,Interval Start,Interval End,Market,Location,Location Type,LMP,Energy,Congestion,Loss
0,2023-01-01 00:00:00-08:00,2023-01-01 00:00:00-08:00,2023-01-01 01:00:00-08:00,DAY_AHEAD_HOURLY,DELTA_2_PL1X4-APND,AP Node,119.12818,121.76724,0,-2.63906
1,2023-01-01 01:00:00-08:00,2023-01-01 01:00:00-08:00,2023-01-01 02:00:00-08:00,DAY_AHEAD_HOURLY,DELTA_2_PL1X4-APND,AP Node,113.73115,116.13963,0,-2.40848
2,2023-01-01 02:00:00-08:00,2023-01-01 02:00:00-08:00,2023-01-01 03:00:00-08:00,DAY_AHEAD_HOURLY,DELTA_2_PL1X4-APND,AP Node,112.44023,115.43434,0,-2.99412
3,2023-01-01 03:00:00-08:00,2023-01-01 03:00:00-08:00,2023-01-01 04:00:00-08:00,DAY_AHEAD_HOURLY,DELTA_2_PL1X4-APND,AP Node,108.29426,110.98059,0,-2.68633
4,2023-01-01 04:00:00-08:00,2023-01-01 04:00:00-08:00,2023-01-01 05:00:00-08:00,DAY_AHEAD_HOURLY,DELTA_2_PL1X4-APND,AP Node,107.05148,109.83079,0,-2.77931
5,2023-01-01 05:00:00-08:00,2023-01-01 05:00:00-08:00,2023-01-01 06:00:00-08:00,DAY_AHEAD_HOURLY,DELTA_2_PL1X4-APND,AP Node,110.48666,113.0883,0,-2.60164
6,2023-01-01 06:00:00-08:00,2023-01-01 06:00:00-08:00,2023-01-01 07:00:00-08:00,DAY_AHEAD_HOURLY,DELTA_2_PL1X4-APND,AP Node,126.45419,129.43182,0,-2.97763
7,2023-01-01 07:00:00-08:00,2023-01-01 07:00:00-08:00,2023-01-01 08:00:00-08:00,DAY_AHEAD_HOURLY,DELTA_2_PL1X4-APND,AP Node,124.82145,126.28707,0,-1.46561
8,2023-01-01 08:00:00-08:00,2023-01-01 08:00:00-08:00,2023-01-01 09:00:00-08:00,DAY_AHEAD_HOURLY,DELTA_2_PL1X4-APND,AP Node,105.43505,104.81015,0,0.6249
9,2023-01-01 09:00:00-08:00,2023-01-01 09:00:00-08:00,2023-01-01 10:00:00-08:00,DAY_AHEAD_HOURLY,DELTA_2_PL1X4-APND,AP Node,83.63086,82.98403,0,0.64683
10,2023-01-01 10:00:00-08:00,2023-01-01 10:00:00-08:00,2023-01-01 11:00:00-08:00,DAY_AHEAD_HOURLY,DELTA_2_PL1X4-APND,AP Node,70.26359,68.63056,0,1.63304
11,2023-01-01 11:00:00-08:00,2023-01-01 11:00:00-08:00,2023-01-01 12:00:00-08:00,DAY_AHEAD_HOURLY,DELTA_2_PL1X4-APND,AP Node,61.97337,60.53893,0,1.43445
12,2023-01-01 12:00:00-08:00,2023-01-01 12:00:00-08:00,2023-01-01 13:00:00-08:00,DAY_AHEAD_HOURLY,DELTA_2_PL1X4-APND,AP Node,55.62337,55.12206,0,0.50131
13,2023-01-01 13:00:00-08:00,2023-01-01 13:00:00-08:00,2023-01-01 14:00:00-08:00,DAY_AHEAD_HOURLY,DELTA_2_PL1X4-APND,AP Node,48.98274,48.66667,0,0.31607
14,2023-01-01 14:00:00-08:00,2023-01-01 14:00:00-08:00,2023-01-01 15:00:00-08:00,DAY_AHEAD_HOURLY,DELTA_2_PL1X4-APND,AP Node,58.43012,57.95707,0,0.47305
15,2023-01-01 15:00:00-08:00,2023-01-01 15:00:00-08:00,2023-01-01 16:00:00-08:00,DAY_AHEAD_HOURLY,DELTA_2_PL1X4-APND,AP Node,88.31697,89.06561,0,-0.74863
16,2023-01-01 16:00:00-08:00,2023-01-01 16:00:00-08:00,2023-01-01 17:00:00-08:00,DAY_AHEAD_HOURLY,DELTA_2_PL1X4-APND,AP Node,140.54254,143.38702,0,-2.84449
17,2023-01-01 17:00:00-08:00,2023-01-01 17:00:00-08:00,2023-01-01 18:00:00-08:00,DAY_AHEAD_HOURLY,DELTA_2_PL1X4-APND,AP Node,154.96861,158.94305,0,-3.97444
18,2023-01-01 18:00:00-08:00,2023-01-01 18:00:00-08:00,2023-01-01 19:00:00-08:00,DAY_AHEAD_HOURLY,DELTA_2_PL1X4-APND,AP Node,148.88087,153.01814,0,-4.13728
19,2023-01-01 19:00:00-08:00,2023-01-01 19:00:00-08:00,2023-01-01 20:00:00-08:00,DAY_AHEAD_HOURLY,DELTA_2_PL1X4-APND,AP Node,147.3935,151.53111,0,-4.13762
20,2023-01-01 20:00:00-08:00,2023-01-01 20:00:00-08:00,2023-01-01 21:00:00-08:00,DAY_AHEAD_HOURLY,DELTA_2_PL1X4-APND,AP Node,145,145,0,0
21,2023-01-01 21:00:00-08:00,2023-01-01 21:00:00-08:00,2023-01-01 22:00:00-08:00,DAY_AHEAD_HOURLY,DELTA_2_PL1X4-APND,AP Node,145,145,0,0
22,2023-01-01 22:00:00-08:00,2023-01-01 22:00:00-08:00,2023-01-01 23:00:00-08:00,DAY_AHEAD_HOURLY,DELTA_2_PL1X4-APND,AP Node,140.38765,145.08932,0,-4.70168
23,2023-01-01 23:00:00-08:00,2023-01-01 23:00:00-08:00,2023-01-02 00:00:00-08:00,DAY_AHEAD_HOURLY,DELTA_2_PL1X4-APND,AP Node,130.09833,134.2795,0,-4.18117
24,2023-01-02 00:00:00-08:00,2023-01-02 00:00:00-08:00,2023-01-02 01:00:00-08:00,DAY_AHEAD_HOURLY,DELTA_2_PL1X4-APND,AP Node,126.68383,131.18855,0,-4.50473
25,2023-01-02 01:00:00-08:00,2023-01-02 01:00:00-08:00,2023-01-02 02:00:00-08:00,DAY_AHEAD_HOURLY,DELTA_2_PL1X4-APND,AP Node,120.2229,124.70031,0,-4.47742
26,2023-01-02 02:00:00-08:00,2023-01-02 02:00:00-08:00,2023-01-02 03:00:00-08:00,DAY_AHEAD_HOURLY,DELTA_2_PL1X4-APND,AP Node,118.57027,123.26743,0,-4.69716
27,2023-01-02 03:00:00-08:00,2023-01-02 03:00:00-08:00,2023-01-02 04:00:00-08:00,DAY_AHEAD_HOURLY,DELTA_2_PL1X4-APND,AP Node,115.01392,119.40881,0,-4.39489
28,2023-01-02 04:00:00-08:00,2023-01-02 04:00:00-08:00,2023-01-02 05:00:00-08:00,DAY_AHEAD_HOURLY,DELTA_2_PL1X4-APND,AP Node,115.24153,119.99394,0,-4.75241
29,2023-01-02 05:00:00-08:00,2023-01-02 05:00:00-08:00,2023-01-02 06:00:00-08:00,DAY_AHEAD_HOURLY,DELTA_2_PL1X4-APND,AP Node,126.6996,131.67773,0,-4.97813
30,2023-01-02 06:00:00-08:00,2023-01-02 06:00:00-08:00,2023-01-02 07:00:00-08:00,DAY_AHEAD_HOURLY,DELTA_2_PL1X4-APND,AP Node,145.979,151.1542,0,-5.17519
31,2023-01-02 07:00:00-08:00,2023-01-02 07:00:00-08:00,2023-01-02 08:00:00-08:00,DAY_AHEAD_HOURLY,DELTA_2_PL1X4-APND,AP Node,143.75964,147.07439,0,-3.31474
